Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
3733.0,2022-03-21,7.305911,5.1424125,0.779999971,1.039999962,1.269999981,5.75,4.0,0.569999993,2.900000095,0.0,0.600000024,0.779999971,1.450000048,1.74000001,5.170000076,0.649999976,1.149999976
3735.0,2022-03-21,7.305812,5.1426525,1.460000038,2.609999895,3.059999943,8.979999542,6.0,0.200000003,3.5,0.0,0.200000003,1.169999957,2.0,14.30000019,22.45000076,1.25,3.039999962
3737.0,2022-03-21,7.3057085,5.142909,0.779999971,2.430000067,3.180000067,6.389999866,4.0,0.119999997,2.799999952,0.0,0.100000001,1.049999952,2.819999933,8.270000458,7.150000095,0.99000001,2.119999886
3739.0,2022-03-21,7.3055985,5.143179,0.389999986,0.839999974,1.74000001,2.640000105,3.900000095,0.090000004,2.299999952,0.0,0.100000001,0.519999981,0.839999974,3.059999943,13.84000015,0.649999976,1.210000038
3741.0,2022-03-21,7.30548,5.1434615,0.779999971,1.090000033,1.570000052,4.800000191,4.0,0.800000012,2.299999952,0.0,0.800000012,0.939999998,1.289999962,1.519999981,4.679999828,0.649999976,1.5
3743.0,2022-03-21,7.305359,5.143757,0.779999971,1.039999962,2.559999943,2.339999914,3.799999952,0.109999999,2.200000048,0.0,0.100000001,0.519999981,0.689999998,1.710000038,3.680000067,1.299999952,0.790000021
3745.0,2022-03-21,7.3052325,5.144065,1.460000038,2.569999933,3.319999933,7.730000019,4.0,0.100000001,2.700000048,0.0,0.100000001,1.460000038,2.309999943,11.43000031,23.29000092,1.220000029,2.50999999
3747.0,2022-03-21,7.3051015,5.1443825,0.779999971,2.160000086,3.460000038,5.570000172,6.900000095,0.360000014,2.799999952,0.0,0.400000006,0.629999995,2.440000057,5.880000114,13.27999973,0.689999998,2.390000105
3749.0,2022-03-21,7.30497,5.144703,0.889999986,2.140000105,4.480000019,16.18000031,8.199999809,0.029999999,2.200000048,0.200000003,0.0,1.309999943,1.820000052,2.24000001,49.00999832,1.870000005,2.549999952
3751.0,2022-03-21,7.3048375,5.145023,0.800000012,0.75999999,1.600000024,111.4300003,4.800000191,0.790000021,2.0,0.300000012,0.800000012,0.779999971,1.220000029,2.869999886,145.2599945,1.24000001,1.529999971
