Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
50:39.0,3/21/2022,7.2812205,5.212154,1.460000038,2.049999952,2.380000114,187.3800049,4.400000095,0.159999996,2,0.400000006,0.200000003,1.460000038,3.059999943,29.86000061,182.6499939,1.25999999,0.75999999
50:41.0,3/21/2022,7.2812495,5.2123655,0.779999971,2.430000067,3.619999886,187.8200073,3.799999952,0.219999999,2,0.400000006,0.200000003,0.779999971,2.359999895,7.920000076,183.6600037,0.680000007,2.329999924
50:43.0,3/21/2022,7.2812795,5.212572,0.779999971,1.730000019,3.980000019,186.4400024,4,0.589999974,2,0.400000006,0.600000024,0.779999971,1.730000019,2.960000038,185.75,0.689999998,3.130000114
50:45.0,3/21/2022,7.281306,5.21276,0.879999995,1.149999976,1.590000033,182.7599945,5.699999809,0.300000012,2,0.400000006,0.300000012,0.779999971,1.210000038,7.190000057,182.5700073,1.159999967,1.360000014
50:47.0,3/21/2022,7.281325,5.21292,0.930000007,1.360000014,3.74000001,71.90000153,6.900000095,0.029999999,2.200000048,0.200000003,0,0.980000019,1.299999952,5.079999924,120.5500031,1.330000043,1.590000033
50:49.0,3/21/2022,7.2813425,5.2130615,0.779999971,0.889999986,3.619999886,189.1000061,4.300000191,0.07,2,0.400000006,0.100000001,0.779999971,0.899999976,3.279999971,183.6300049,0.75,1.139999986
50:51.0,3/21/2022,7.2813545,5.213189,1.460000038,2.779999971,1.870000005,185.3899994,6.5,0.209999993,2,0.400000006,0.200000003,1.460000038,2.390000105,24.56999969,184.25,1.799999952,2.359999895
50:53.0,3/21/2022,7.2813625,5.2132985,0.779999971,2.109999895,3.579999924,179.8300018,4.599999905,0.330000013,2,0.400000006,0.300000012,0.779999971,2.109999895,6.099999905,179.1000061,1,2.309999943
50:55.0,3/21/2022,7.2813735,5.2134025,0.779999971,1.409999967,1.75999999,177.8399963,5.199999809,0.050000001,2,0.400000006,0.100000001,0.779999971,1.409999967,1.919999957,181.2599945,0.670000017,1.639999986
50:57.0,3/21/2022,7.2813865,5.213504,0.819999993,1.350000024,3.019999981,139.8699951,7.300000191,0.200000003,2.099999905,0.300000012,0.200000003,0.769999981,0.779999971,13.02000046,162.0500031,0.850000024,0.730000019
50:59.0,3/21/2022,7.2813975,5.2135955,1.210000038,1.389999986,3.910000086,87.63999939,6.800000191,0.439999998,2.099999905,0.200000003,0.400000006,1.399999976,1.519999981,10.17000008,131.8800049,2.25999999,2.230000019
51:01.0,3/21/2022,7.2814065,5.2136925,1.460000038,1.820000052,3.190000057,176.0800018,4.199999809,0.140000001,2,0.400000006,0.100000001,1.460000038,1.899999976,5.170000076,174.5500031,1.090000033,2.019999981
51:03.0,3/21/2022,7.28142,5.2138075,1.049999952,2.720000029,3.220000029,159.9400024,4.900000095,0.140000001,2.099999905,0.400000006,0.100000001,0.959999979,2.960000038,5.239999771,168.4700012,1.539999962,2.25
51:05.0,3/21/2022,7.281436,5.213929,1.159999967,2,3.390000105,76.59999847,6.199999809,0.310000002,2.099999905,0.200000003,0.300000012,1.210000038,2.180000067,4.659999847,143.8300018,1.220000029,2.279999971
51:07.0,3/21/2022,7.281451,5.214046,0.779999971,1.080000043,3.130000114,180.6000061,13.60000038,1.179999948,2,0.400000006,1.200000048,0.779999971,1.080000043,2.49000001,184.3999939,0.670000017,0.819999993
