UniqueID,Time,Date,Latitude,Longitude,Call Established/Calldrop,Timing Advance,Agg. Active RSCP (dBm),Agg. Active Ec/Io (dB),UE Received Power (RSSI - dBm): Top #1,Time of the Day
14626,36:13.0,2/23/2022,7.34739275,5.10267025,Call Established,,-62.29999924,-8.600000381,-56.70000076,Morning
14686,38:03.0,2/23/2022,7.3498845,5.10895,Call Established,,-82.59999847,-14.89999962,-66.30000305,Morning
14788,41:17.0,2/23/2022,7.362015,5.104694,Dropped Call,,-72.90000153,0,,Evening
14957,56:17.0,2/24/2022,7.297185,5.134595,Call Established,0,-64.09999847,3,,Evening
15081,00:15.0,2/24/2022,7.297425,5.135514,Call Established,,-76.40000153,1.899999976,,Evening
15210,04:15.0,2/24/2022,7.3017625,5.1315675,Call Established,,-73.80000305,3.299999952,,Evening
15333,08:17.0,2/24/2022,7.2979885,5.142982,Call Established,1,-90.19999695,2.599999905,,Evening
15464,12:17.0,2/24/2022,7.295064583,5.149586833,Call Established,,-69.09999847,3.5,,Evening
15591,16:15.0,2/24/2022,7.300275,5.14476,Call Established,2.5,-77,2.599999905,,Evening
15716,20:17.0,2/24/2022,7.300273,5.144768,Call Established,1,-62.5,3,,Morning
15845,24:33.0,2/24/2022,7.300277,5.144772,Call Established,,-75.80000305,-15.5,-63.29999924,Morning
15968,28:41.0,2/24/2022,7.302845,5.1412395,Call Established,,-75,0,,Morning
16112,33:17.0,2/24/2022,7.3035585,5.148111,Call Established,,-83,-15.10000038,-67.40000153,Morning
16238,37:17.0,2/24/2022,7.293454,5.158556,Call Established,1,-66.30000305,0.400000006,,Morning
16368,41:17.0,2/24/2022,7.2845045,5.1820045,Call Established,,-84.69999695,-14.69999981,-70,Morning
16493,45:15.0,2/24/2022,7.280722,5.1923035,Call Established,,-75.09999847,4.199999809,,Morning
16624,49:13.0,2/24/2022,7.281775,5.217964,Call Established,,-87.19999695,3.799999952,,Evening
16776,53:57.0,2/24/2022,7.2765825,5.242392,Call Established,,-82.80000305,-12.19999981,-70.59999847,Evening
16919,58:31.0,2/24/2022,7.2723185,5.273041,Call Established,,-81.40000153,-11,-68.30000305,Evening
17046,02:29.0,2/24/2022,7.2759,5.2926175,Call Established,,-82.5,-4.900000095,-78.40000153,Evening
17184,06:49.0,2/24/2022,7.261265,5.2532135,Call Established,,-70.90000153,-13.10000038,-57.5,Evening
17310,10:47.0,2/24/2022,7.2546275,5.218242,Call Established,1.5,-82.69999695,2.599999905,,Morning
17436,14:51.0,2/24/2022,7.2514475,5.205056,Call Established,,-65.59999847,3.200000048,,Morning
17571,18:57.0,2/24/2022,7.2553485,5.1894795,Call Established,,-74.40000153,3.599999905,,Morning
17704,22:55.2,2/24/2022,7.250930749,5.170124404,Call Established,,,,,Morning
17831,26:53.0,2/24/2022,7.267527,5.1617875,Call Established,,-68.59999847,3,,Morning
17981,31:35.0,2/24/2022,7.275255,5.1525785,Call Established,,-69.40000153,3.200000048,,Morning
18110,35:35.0,2/24/2022,7.2862125,5.153009,Call Established,,-66.90000153,3.900000095,,Morning
18237,39:33.0,2/24/2022,7.296255,5.1494535,Call Established,,-63.90000153,3.5,,Morning
18366,43:39.0,2/24/2022,7.2969632,5.1355808,Call Established,,-73.30000305,0,,Morning
